2026-07-12 19:11:18 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:11:36 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:11:37 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:11:47 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 19:11:47 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 19:11:49 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:11:54 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:11:54 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:11:55 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 19:11:56 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:11:56 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:11:57 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 19:12:01 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 19:12:04 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:12:04 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:12:06 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:12:08 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:12:10 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:12:16 | INFO     | gesture_draw | Window closed by user.
2026-07-12 19:12:17 | INFO     | gesture_draw | Camera released.
2026-07-12 19:12:17 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 19:17:39 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
